做了一个吃葡萄的手机支架 http://t.cn/A6bPaMMu ​​​,Sun Sep 27 18:00:06 +0800 2020,49370,4058,5294
自制四脚跑步助力器#手工耿的手工# http://t.cn/A64uC9kc ​​​,Sun Sep 20 18:13:04 +0800 2020,26790,2899,1306
听说搞笑诺贝尔奖就要颁奖了，我给他们做了一个奖杯，你们看下怎么样？#手工耿自制搞笑诺贝尔奖杯# http://t.cn/A64HzaEO ​​​,Wed Sep 16 15:26:40 +0800 2020,16586,1358,624
[嘻嘻],Fri Sep 04 20:00:56 +0800 2020,13484,1064,1162
改装了一下自己新买的手表 http://t.cn/A64GJXSY ​​​,Tue Sep 01 18:04:05 +0800 2020,26640,2340,1547
这次意外我对马女士深表歉意，以后制作物品时在安全方面一定会多加注意，不会让类似的事情发生。再次对马女士表示深深的歉意,Wed Aug 26 16:26:00 +0800 2020,22212,922,229
[嘻嘻]一直响亮着，谢谢大家的投票 http://t.cn/A6UeptlR ​​​,Sun Aug 23 02:08:02 +0800 2020,15522,950,389
和外星人一起做了一个票数器，#视频号PICK大赛# [允悲]最后再给大家求个票http://t.cn/A6UexJLO🙏辛苦大家了 http://t.cn/A6UexTiW ​​​,Sat Aug 22 23:45:17 +0800 2020,22187,3062,1309
研制了一个宝宝穿裤机，各方面还不错，就是有点费玻璃 http://t.cn/A6Ujtyh1 ​​​,Fri Aug 14 19:30:05 +0800 2020,104742,7711,8643
"[嘻嘻]辛苦、受累、麻烦啦，希望大家能在微博举办的#视频号PICK大赛#中为我投票打榜呀~！[抓狂]感谢👉
http://t.cn/A6UCAQcy
@微博视频@微博幽默 ​​​",Tue Aug 11 11:33:46 +0800 2020,3871,454,48
[嘻嘻]最近去杭州看了下自己的展，晚上吃饭的时候获得了一个小经验，不要用陌生的杯子喝陌生的酒。不然你就会知道风湿科的老中医开的药是真的苦。 ​​​,Wed Aug 05 11:25:23 +0800 2020,8824,667,186
